zipcode,name,tel,beonji,address
220-939,단계동사무소,033-741-2618,1089-6,강원 원주시　
220-940,단구동사무소,033-741-2615,145,강원 원주시　
220-945,명륜1동사무소,033-741-2613,90-16,강원 원주시　
220-948,명륜2동사무소,033-741-2614,640-1,강원 원주시　
220-150,무실동사무소,033-741-2624,334-4,강원 원주시　
220-934,반곡관설동사무소,033-741-2625,1284-11,강원 원주시　
220-950,봉산동사무소,033-741-2622,906-1,강원 원주시　
220-952,우산동사무소,033-741-2619,125-123,강원 원주시　
220-060,원인동사무소,033-741-2611,253,강원 원주시　
220-957,일산동사무소,033-741-2616,219-17,강원 원주시　
220-963,중앙동사무소,033-741-2610,206-6,강원 원주시　
220-121,태장1동사무소,033-741-2620,756-2,강원 원주시　
220-961,태장2동사무소,033-741-2621,1052-1,강원 원주시　
220-964,학성동사무소,033-741-2617,223,강원 원주시　
220-160,행구동사무소,033-741-2623,1061-7,강원 원주시　
200-937,강남동사무소,033-250-3624,133-2,강원 춘천시　
200-060,교동사무소,033-250-3612,144-1,강원 춘천시　
200-931,근화동사무소,033-250-3615,738-1,강원 춘천시　
200-935,석사동사무소,033-250-2622,665,강원 춘천시　
200-113,소양동사무소,033-250-3611,96-2,강원 춘천시　
200-939,신사우동사무소,033-250-3625,761-14,강원 춘천시　
200-050,약사명동사무소,033-250-3614,109-4,강원 춘천시　
200-941,조운동사무소,033-250-3613,65-1,강원 춘천시　
200-943,퇴계동사무소,033-250-3623,360-26,강원 춘천시　
200-954,효자1동사무소,033-250-3619,674-19,강원 춘천시　
200-952,효자2동사무소,033-250-3620,161-1,강원 춘천시　
200-950,효자3동사무소,033-250-3621,44-49,강원 춘천시　
200-959,후평1동사무소,033-250-3616,722-1,강원 춘천시　
200-961,후평2동사무소,033-250-3617,792-1,강원 춘천시　
200-962,후평3동사무소,033-250-3618,805-1,강원 춘천시　
235-100,구문소동사무소,033-581-6904,99-29,강원 태백시　
235-120,문곡소도동사무소,033-552-1375,101-3,강원 태백시　
235-270,삼수동사무소,033-552-1376,308-2,강원 태백시　
235-803,상장동사무소,033-552-1373,621-193,강원 태백시　
235-100,장성동사무소,033-581-6903,169-1,강원 태백시　
235-200,철암동사무소,033-582-7906,349-18,강원 태백시　
235-280,황연동사무소,033-552-1371,274-735,강원 태백시　
235-010,황지동사무소,033-552-1370,47,강원 태백시　
410-560,고봉동주민센터,031-8075-6953,57-4,경기 고양시　
412-800,고양동주민센터,031-8075-5788,195-1,경기 고양시　
412-802,관산동주민센터,031-8075-5808,238-1,경기 고양시　
412-821,능곡동주민센터,031-8075-5828,885-9,경기 고양시　
412-170,대덕동주민센터,031-8075-5987,191-5,경기 고양시　
411-803,대화동주민센터,031-8075-7883,2035,경기 고양시　
410-810,마두1동주민센터,031-8075-6874,727,경기 고양시　
410-811,마두2동주민센터,031-8075-6893,782,경기 고양시　
410-815,백석1동주민센터,031-8075-6812,1147,경기 고양시　
410-817,백석2동주민센터,031-8075-6842,1331-1,경기 고양시　
412-805,성사1동주민센터,031-8075-5702,408-1,경기 고양시　
412-808,성사2동주민센터,031-8075-5722,734-1,경기 고양시　
411-808,송산동주민센터,031-8075-7944,446-9,경기 고양시　
411-802,송포동주민센터,031-8075-7913,767-2,경기 고양시　
410-820,식사동주민센터,031-8075-6702,632,경기 고양시　
412-080,신도동주민센터,031-8075-5757,143-1,경기 고양시　
412-070,원신동주민센터,031-8075-5672,437-25,경기 고양시　
411-826,일산1동주민센터,031-8075-7702,963-6,경기 고양시　
411-824,일산2동주민센터,031-8075-7733,557-25,경기 고양시　
411-822,일산3동주민센터,031-8075-7763,1100,경기 고양시　
410-834,장항1동주민센터,031-8075-6912,578-2,경기 고양시　
410-837,장항2동주민센터,031-8075-6940,900,경기 고양시　
410-828,정발산동주민센터,031-8075-6764,1212,경기 고양시　
412-809,주교동주민센터,031-8075-5654,265-1,경기 고양시　
411-370,주엽1동주민센터,031-8075-7822,69,경기 고양시　
411-838,주엽2동주민센터,031-8075-7853,27,경기 고양시　
410-831,중산동주민센터,031-8075-6733,1573-4,경기 고양시　
412-090,창릉동주민센터,031-8075-5772,46,경기 고양시　
411-841,탄현동주민센터,031-8075-7793,1488-3,경기 고양시　
410-843,풍산동주민센터,031-8075-6783,349-16,경기 고양시　
412-835,행신1동주민센터,031-8075-5907,992,경기 고양시　
412-825,행신2동주민센터,031-8075-5928,717,경기 고양시　
412-220,행신3동주민센터,031-8075-5948,901,경기 고양시　
412-821,행주동주민센터,031-8075-5888,885-9,경기 고양시　
412-160,화전동주민센터,031-8075-5968,226-6,경기 고양시　
412-826,화정1동주민센터,031-8075-5848,864,경기 고양시　
412-827,화정2동주민센터,031-8075-5868,994,경기 고양시　
412-815,효자동주민센터,031-8075-5742,522-12,경기 고양시　
412-805,흥도동주민센터,031-8075-5687,34-1,경기 고양시　
427-090,갈현동사무소,02-502-1300,577,경기 과천시　
427-060,과천동사무소,02-502-1400,538-1,경기 과천시　
427-090,문원동사무소,02-502-3190,15-11,경기 과천시　
427-801,별양동사무소,02-502-3002,12,경기 과천시　
427-804,부림동사무소,02-502-3003,47,경기 과천시　
427-020,중앙동사무소,02-502-3001,107,경기 과천시　
423-800,광명1동사무소,02-686-0501,9-34,경기 광명시　
423-806,광명2동사무소,02-686-0502,93-3,경기 광명시　
423-802,광명3동사무소,02-686-0503,136-8,경기 광명시　
423-858,광명4동사무소,02-686-0504,158-610,경기 광명시　
423-812,광명5동사무소,02-686-0505,273-4,경기 광명시　
423-817,광명6동사무소,02-686-0506,380-1,경기 광명시　
423-815,광명7동사무소,02-686-0507,318-1,경기 광명시　
423-821,소하1동사무소,02-803-9858,81-4,경기 광명시　
423-823,소하2동사무소,02-898-1114,324,경기 광명시　
423-829,철산1동사무소,02-686-0508,9-141,경기 광명시　
423-831,철산2동사무소,02-686-0509,154,경기 광명시　
423-835,철산3동사무소,02-686-0510,240-2,경기 광명시　
423-034,철산4동사무소,02-686-0511,489-2,경기 광명시　
423-854,하안1동사무소,02-898-0381~2,720,경기 광명시　
423-062,하안2동사무소,02-891-9126~7,271,경기 광명시　
423-852,하안3동사무소,02-893-4779,260-160,경기 광명시　
423-845,하안4동사무소,02-896-8470~1,30-2,경기 광명시　
423-070,학온동사무소,02-689-3102~3,545-7,경기 광명시　
464-801,경안동사무소,031-761-0270,53-2,경기 광주시　
464-808,광남동사무소,031-760-4531~2,249-2,경기 광주시　
464-100,송정동사무소,031-761-0271,717-5,경기 광주시　
471-080,갈매동사무소,031-550-2601,256-14,경기 구리시　
471-801,교문1동사무소,031-550-2604,262-4,경기 구리시　
471-810,교문2동사무소,031-550-2605,799-1,경기 구리시　
471-829,동구동사무소,031-550-2602,56-36,경기 구리시　
471-815,수택1동사무소,031-550-2606,374-1,경기 구리시　
471-816,수택2동사무소,031-550-2607,445-28,경기 구리시　
471-828,수택3동사무소,031-550-2608,851,경기 구리시　
471-834,인창동사무소,031-550-2603,576-7,경기 구리시　
435-803,광정동사무소,031-390-0609,1120-2,경기 군포시　
435-814,군포1동사무소,031-390-0600,751,경기 군포시　
435-012,군포2동사무소,031-390-0601,261-1,경기 군포시　
435-822,궁내동사무소,031-390-0618,1148-7,경기 군포시　
435-826,금정동사무소,031-390-0604,728-10,경기 군포시　
435-060,대야동사무소,031-390-0630,242-1,경기 군포시　
435-838,산본1동사무소,031-390-0602,73-26,경기 군포시　
435-849,산본2동사무소,031-390-0603,1065-1,경기 군포시　
435-854,수리동사무소,031-390-0607,1151-7,경기 군포시　
435-855,오금동사무소,031-390-0606,871-13,경기 군포시　
435-055,재궁동사무소,031-390-0605,376,경기 군포시　
415-030,김포1동사무소,031-980-5201~13,703,경기 김포시　
415-060,김포2동사무소,031-980-5221~32,1338,경기 김포시　
415-801,사우동사무소,031-980-5241~54,236-2,경기 김포시　
415-070,풍무동사무소,031-980-5281~93,126-3,경기 김포시　
472-808,금곡동사무소,031-590-2653,434-12,경기 남양주시
472-912,도농동사무소,031-590-2656,53-1,경기 남양주시
472-931,양정동사무소,031-590-2654,465-10,경기 남양주시
472-933,지금동사무소,031-590-2655,174-3,경기 남양주시
472-936,평내동사무소,031-590-2652,264-6,경기 남양주시
472-120,호평동사무소,031-590-2651,144-6,경기 남양주시
483-060,보산동사무소,031-860-2605,314-5,경기 동두천시
483-030,불현동사무소,031-860-2606,348,경기 동두천시
483-120,상패동사무소,031-860-2610,83-1,경기 동두천시
483-031,생연1동사무소,031-860-2601,469-1,경기 동두천시
483-032,생연2동사무소,031-860-2602,807-10,경기 동두천시
483-080,소요동사무소,031-860-2607,262,경기 동두천시
483-030,중앙동사무소,031-860-2604,587-16,경기 동두천시
421-800,고강1동사무소,032-677-0998~9,290-2,경기 부천시　
421-802,고강본동사무소,032-672-1181~2,324-4,경기 부천시　
422-800,괴안동사무소,032-340-6607,72,경기 부천시　
420-801,도당동사무소,032-650-2610,35-11,경기 부천시　
422-804,범박동사무소,032-340-6606,34-2,경기 부천시　
420-813,상1동사무소,032-650-2616,396-2,경기 부천시　
420-811,상동사무소,032-650-2613,318-1,경기 부천시　
421-812,성곡동사무소,032-674-6523,10-36,경기 부천시　
420-818,소사동사무소,032-650-2606,23-1,경기 부천시　
422-809,소사본1동사무소,032-340-6603,166-6,경기 부천시　
422-232,소사본2동사무소,032-340-6604,221-1101,경기 부천시　
422-811,소사본3동사무소,032-340-6605,277-32,경기 부천시　
422-816,송내1동사무소,032-340-6609,408,경기 부천시　
422-819,송내2동사무소,032-340-6610,381-8,경기 부천시　
421-805,신흥동사무소,032-672-8014,10-2,경기 부천시　
420-824,심곡1동사무소,032-650-2601,427-6,경기 부천시　
420-822,심곡2동사무소,032-650-2602,163-3,경기 부천시　
420-826,심곡3동사무소,032-650-2603,339-19,경기 부천시　
422-824,심곡본1동사무소,032-340-6601,665-14,경기 부천시　
422-240,심곡본동사무소,032-340-6602,685,경기 부천시　
420-140,약대동사무소,032-650-2611,214-6,경기 부천시　
420-833,역곡1동사무소,032-650-2607,225-29,경기 부천시　
420-832,역곡2동사무소,032-650-2608,36-9,경기 부천시　
422-103,역곡3동사무소,032-340-6608,108-1,경기 부천시　
421-815,오정동사무소,032-671-3112,557-18,경기 부천시　
420-839,원미1동사무소,032-650-2604,99-2,경기 부천시　
420-840,원미2동사무소,032-650-2605,126-4,경기 부천시　
421-819,원종1동사무소,032-671-8011,279-1,경기 부천시　
421-814,원종2동사무소,032-678-2225~6,139-7,경기 부천시　
420-021,중1동사무소,032-650-2615,1184,경기 부천시　
420-856,중2동사무소,032-650-2614,1192-2,경기 부천시　
420-849,중3동사무소,032-650-2617,1078-4,경기 부천시　
420-024,중4동사무소,032-650-2618,1259-8,경기 부천시　
420-845,중동사무소,032-650-2612,801,경기 부천시　
420-859,춘의동사무소,032-650-2609,171-56,경기 부천시　
461-300,고등동사무소,031-729-5880,429-1,경기 성남시　
463-808,구미1동사무소,031-729-7930,26,경기 성남시　
463-802,구미동사무소,031-729-7950,224,경기 성남시　
463-869,금곡동사무소,031-729-7910,174,경기 성남시　
462-801,금광1동사무소,031-729-6650,1348,경기 성남시　
462-804,금광2동사무소,031-729-6660~79,3657,경기 성남시　
461-801,단대동사무소,031-729-5781,129,경기 성남시　
462-080,도촌동사무소,031-729-6801~6,650,경기 성남시　
461-830,복정동사무소,031-729-5840,641-12,경기 성남시　
463-831,분당동사무소,031-729-7610,42,경기 성남시　
461-803,산성동사무소,031-729-5801,2136,경기 성남시　
462-808,상대원1동사무소,031-729-6730,1451,경기 성남시　
462-817,상대원2동사무소,031-729-6741,3159,경기 성남시　
462-809,상대원3동사무소,031-729-6770,856,경기 성남시　
463-821,서현1동사무소,031-729-7750,89-1,경기 성남시　
463-818,서현2동사무소,031-729-7720,296,경기 성남시　
462-827,성남동사무소,031-729-6610,3439,경기 성남시　
463-838,수내1동사무소,031-729-7630,30,경기 성남시　
463-852,수내2동사무소,031-729-7650,59,경기 성남시　
463-864,수내3동사무소,031-729-7670,80,경기 성남시　
461-805,수진1동사무소,031-729-5741,1967,경기 성남시　
461-806,수진2동사무소,031-729-5761,3985,경기 성남시　
461-370,시흥동사무소,031-729-5901,83-6,경기 성남시　
461-340,신촌동사무소,031-729-5860,257-5,경기 성남시　
461-813,신흥1동사무소,031-729-5601,5481,경기 성남시　
461-809,신흥2동사무소,031-729-5621,1741-5,경기 성남시　
461-811,신흥3동사무소,031-729-5641,2819,경기 성남시　
463-827,야탑1동사무소,031-729-7830,363,경기 성남시　
463-840,야탑2동사무소,031-729-7850,508,경기 성남시　
463-856,야탑3동사무소,031-729-7870,307,경기 성남시　
461-816,양지동사무소,031-729-5821,874,경기 성남시　
463-440,운중동사무소,031-729-7970,,경기 성남시　
462-834,은행1동사무소,031-729-6690,2192,경기 성남시　
462-831,은행2동사무소,031-729-6710,1032,경기 성남시　
463-829,이매1동사무소,031-729-7790,109,경기 성남시　
463-806,이매2동사무소,031-729-7810,138,경기 성남시　
463-834,정자1동사무소,031-729-7690,147,경기 성남시　
463-833,정자2동사무소,031-729-7710,118,경기 성남시　
463-814,정자3동사무소,031-729-7730,201,경기 성남시　
462-835,중동사무소,031-729-6630,7-1,경기 성남시　
461-823,태평1동사무소,031-729-5661,6116-2,경기 성남시　
461-822,태평2동사무소,031-729-5681,3307-2,경기 성남시　
461-827,태평3동사무소,031-729-5701,3659,경기 성남시　
461-820,태평4동사무소,031-729-5721,7293,경기 성남시　
463-420,판교동사무소,031-729-7890,464-4,경기 성남시　
462-839,하대원동사무소,031-729-6781~8,145-1,경기 성남시　
442-882,고등동사무소,031-228-6609,153-1,경기 수원시　
441-837,곡선동사무소,031-228-6611,1268-2,경기 수원시　
441-815,구운동사무소,031-228-6607,139-27,경기 수원시　
441-826,권선동사무소,031-228-6610,1166,경기 수원시　
442-160,남향동사무소,031-228-7702,122-86,경기 수원시　
442-843,매교동사무소,031-228-6601,88-1,경기 수원시　
442-847,매산동사무소,031-228-6608,40-30,경기 수원시　
443-800,매탄1동사무소,031-228-7707,176-4,경기 수원시　
443-801,매탄2동사무소,031-228-7708,198-99,경기 수원시　
443-373,매탄3동사무소,031-228-7709,946-5,경기 수원시　
443-802,매탄4동사무소,031-228-7712,232-2,경기 수원시　
441-856,서둔동사무소,031-228-6606,207,경기 수원시　
441-862,세류1동사무소,031-228-6602,223-2,경기 수원시　
441-876,세류2동사무소,031-228-6603,980-1,경기 수원시　
441-868,세류3동사무소,031-228-6604,476-11,경기 수원시　
440-806,송죽동사무소,031-228-5609,502-1,경기 수원시　
442-040,신안동사무소,031-228-5601,100,경기 수원시　
440-808,연무동사무소,031-228-5611,181-1,경기 수원시　
443-809,영통1동사무소,031-228-7714,947-6,경기 수원시　
443-812,영통2동사무소,031-228-7715,977-3,경기 수원시　
440-818,영화동사무소,031-228-5608,250-1,경기 수원시　
442-819,우만1동사무소,031-228-7704,506,경기 수원시　
442-816,우만2동사무소,031-228-7711,108-3,경기 수원시　
443-822,원천동사무소,031-228-7710,139-7,경기 수원시　
440-828,율천동사무소,031-228-5605,433-2,경기 수원시　
443-270,이의동사무소,031-228-7705,123-3,경기 수원시　
442-831,인계동사무소,031-228-7706,909-69,경기 수원시　
441-470,입북동사무소,031-228-6612,429-9,경기 수원시　
440-301,정자1동사무소,031-228-5606,840-96,경기 수원시　
440-832,정자2동사무소,031-228-5607,32-7,경기 수원시　
440-848,조원동사무소,031-228-5610,753-6,경기 수원시　
442-838,지동사무소,031-228-7703,479,경기 수원시　
440-854,파장동사무소,031-228-5604,584-6,경기 수원시　
442-023,팔달동사무소,031-228-7701,94-5,경기 수원시　
441-230,평동사무소,031-228-6605,35-6,경기 수원시　
442-862,화서1동사무소,031-228-5602,134-3,경기 수원시　
442-867,화서2동사무소,031-228-5603,277-2,경기 수원시　
429-120,과림동사무소,031-310-2610,490-11,경기 시흥시　
429-400,군자동사무소,031-310-2607,1660-2,경기 시흥시　
429-807,대야동사무소,031-310-2601,55-31,경기 시흥시　
429-816,매화동사무소,031-310-2605,77-1,경기 시흥시　
429-869,목감동사무소,031-310-2606,171-3,경기 시흥시　
429-831,신천동사무소,031-310-2602,765-5,경기 시흥시　
429-871,신현동사무소,031-310-2603,20-33,경기 시흥시　
429-240,연성동사무소,031-310-2611,46,경기 시흥시　
429-835,은행동사무소,031-310-2604,113-9,경기 시흥시　
429-451,정왕1동사무소,031-310-2608,1212-8,경기 시흥시　
429-452,정왕2동사무소,031-310-2609,1866-7,경기 시흥시　
425-806,고잔1동사무소,031-481-2610,659-6,경기 안산시　
425-805,고잔2동사무소,031-481-2611,672-3,경기 안산시　
426-210,반월동사무소,031-481-2620,643-4,경기 안산시　
426-816,본오1동사무소,031-481-2604,920,경기 안산시　
426-809,본오2동사무소,031-481-2605,796-4,경기 안산시　
426-815,본오3동사무소,031-481-2606,873,경기 안산시　
426-820,부곡동사무소,031-481-2607,671-4,경기 안산시　
426-823,사1동사무소,031-481-2602,1304,경기 안산시　
426-823,사2동사무소,031-481-2603,1304,경기 안산시　
425-827,선부1동사무소,031-481-2617,964-4,경기 안산시　
425-826,선부2동사무소,031-481-2618,997-2,경기 안산시　
425-832,선부3동사무소,031-481-2619,1135,경기 안산시　
426-837,성포동사무소,031-481-2612,585,경기 안산시　
426-400,안산동사무소,031-481-2621,441-9,경기 안산시　
425-840,와동사무소,031-481-2609,111-4,경기 안산시　
425-847,원곡1동사무소,031-481-2614,821,경기 안산시　
425-850,원곡2동사무소,031-481-2615,936,경기 안산시　
425-845,원곡본동사무소,031-481-2613,746-6,경기 안산시　
426-060,월피동사무소,031-481-2608,738,경기 안산시　
426-858,일동사무소,031-481-2601,110-5,경기 안산시　
425-865,초지동사무소,031-481-2616,606-1,경기 안산시　
456-060,안성1동사무소,031-677-6201~2,410,경기 안성시　
456-060,안성2동사무소,031-677-6301~2,410,경기 안성시　
456-240,안성3동사무소,031-677-6401~2,108-4,경기 안성시　
431-800,갈산동사무소,031-389-4760,1118,경기 안양시　
431-807,관양1동사무소,031-389-4650,1432-15,경기 안양시　
431-809,관양2동사무소,031-389-4660,1482-3,경기 안양시　
431-802,귀인동사무소,031-389-4700,933-4,경기 안양시　
431-811,달안동사무소,031-389-4640,1101-5,경기 안양시　
430-800,박달1동사무소,031-389-3720,50-2,경기 안양시　
430-032,박달2동사무소,031-389-3730,124-7,경기 안양시　
431-812,범계동사무소,031-389-4740,1051-1,경기 안양시　
431-814,부림동사무소,031-389-4670,1588,경기 안양시　
431-817,부흥동사무소,031-389-4630,1103-1,경기 안양시　
431-051,비산1동사무소,031-389-4600,405,경기 안양시　
431-821,비산2동사무소,031-389-4610,418-13,경기 안양시　
431-843,비산3동사무소,031-389-4620,318-78,경기 안양시　
430-804,석수1동사무소,031-389-3690,182-17,경기 안양시　
430-042,석수2동사무소,031-389-3700,265-8,경기 안양시　
430-810,석수3동사무소,031-389-3710,600-3,경기 안양시　
431-826,신촌동사무소,031-389-4750,1056-3,경기 안양시　
430-831,안양1동사무소,031-389-3600,674-207,경기 안양시　
430-840,안양2동사무소,031-389-3610,842-2,경기 안양시　
430-013,안양3동사무소,031-389-3620,1195-33,경기 안양시　
430-835,안양4동사무소,031-389-3630,711-399,경기 안양시　
430-015,안양5동사무소,031-389-3640,710-103,경기 안양시　
430-822,안양6동사무소,031-389-3650,437-4,경기 안양시　
430-815,안양7동사무소,031-389-3660,126-4,경기 안양시　
430-821,안양8동사무소,031-389-3670~4,572-1,경기 안양시　
430-843,안양9동사무소,031-389-3680,996-8,경기 안양시　
431-828,평안동사무소,031-389-4690,896-4,경기 안양시　
431-070,평촌동사무소,031-389-4680,133-8,경기 안양시　
431-841,호계1동사무소,031-389-4710,1003-7,경기 안양시　
431-838,호계2동사무소,031-389-4720,933-18,경기 안양시　
431-083,호계3동사무소,031-389-4730,768-5,경기 안양시　
482-040,양주1동사무소,031-820-5801~6,119,경기 양주시　
482-110,양주2동사무소,031-820-5821~6,561-14,경기 양주시　
482-060,회천1동사무소,031-820-5841~6,141,경기 양주시　
482-050,회천2동사무소,031-820-5861~6,477-4,경기 양주시　
482-060,회천3동사무소,031-820-5881~6,206-6,경기 양주시　
482-130,회천4동사무소,031-820-5891~6,165-6,경기 양주시　
447-130,남촌동사무소,031-370-3603,16-6,경기 오산시　
447-802,대원동사무소,031-370-3602,880-14,경기 오산시　
447-240,세마동사무소,031-370-3605,506,경기 오산시　
447-140,신장동사무소,031-370-3604,585-2,경기 오산시　
447-801,중앙동사무소,031-370-3601,858-13,경기 오산시　
447-190,초평동사무소,031-370-3606,184-8,경기 오산시　
446-903,구갈동사무소,031-324-6631~2,578-3,경기 용인시　
446-910,구성동사무소,031-324-6701,342-15,경기 용인시　
446-902,기흥동사무소,031-324-6671,388-23,경기 용인시　
449-928,동부동사무소,031-324-5803,533-8,경기 용인시　
448-120,동천동사무소,031-324-8701,200,경기 용인시　
446-912,마북동사무소,031-324-6721~2,181-2,경기 용인시　
446-913,보정동사무소,031-324-6771,1806-3,경기 용인시　
446-905,상갈동사무소,031-324-6642,482-2,경기 용인시　
448-131,상현1동사무소,031-324-8721,839,경기 용인시　
448-132,상현2동사무소,031-324-8741,66-2,경기 용인시　
446-906,서농동사무소,031-324-6681,335-2,경기 용인시　
448-140,성복동사무소,031-324-8761,61-8,경기 용인시　
446-597,신갈동사무소,031-324-6602,60-8,경기 용인시　
446-597,신봉동사무소,031-324-8641,74,경기 용인시　
446-914,어정동사무소,031-324-6741,461,경기 용인시　
449-933,역삼동사무소,031-324-5764,518-4,경기 용인시　
449-935,유림동사무소,031-324-5782~3,475-4,경기 용인시　
448-161,죽전1동사무소,031-324-8661,1070-9,경기 용인시　
448-548,죽전2동사무소,031-324-8681,915-3,경기 용인시　
449-925,중앙동사무소,031-324-5743,303-3,경기 용인시　
448-553,풍덕천1동사무소,031-324-8601,701-1,경기 용인시　
448-172,풍덕천2동사무소,031-324-8621,1051-2,경기 용인시　
437-801,고천동사무소,031-345-2601,272-2,경기 의왕시　
437-081,내손1동사무소,031-345-2604,662-2,경기 의왕시　
437-810,내손2동사무소,031-345-2605,710-1,경기 의왕시　
437-813,부곡동사무소,031-345-2602,166-24,경기 의왕시　
437-823,오전동사무소,031-345-2603,842-2,경기 의왕시　
437-120,청계동사무소,031-345-2606,602-15,경기 의왕시　
480-814,가능1동주민센터,031-828-4200,653-23,경기 의정부시
480-819,가능2동주민센터,031-828-4210,831-1,경기 의정부시
480-816,가능3동주민센터,031-828-4220,702-10,경기 의정부시
480-826,녹양동주민센터,031-828-4230,374-6,경기 의정부시
402-818,송산1동주민센터,031-828-4380,60-8,경기 의정부시
480-862,송산2동주민센터,031-828-4180,743-2,경기 의정부시
480-834,신곡1동주민센터,031-828-4160,716-1,경기 의정부시
480-833,신곡2동주민센터,031-828-4170,672,경기 의정부시
480-844,의정부1동주민센터,031-828-4110,225-1,경기 의정부시
480-848,의정부2동주민센터,031-828-4120,433-52,경기 의정부시
480-847,의정부3동주민센터,031-828-4130~7,371,경기 의정부시
480-822,자금동주민센터,031-828-4190,285-53,경기 의정부시
480-030,장암동주민센터,031-828-4150,20-10,경기 의정부시
480-856,호원1동주민센터,031-828-4140,456-5,경기 의정부시
480-867,호원2동주민센터,031-828-4340,332,경기 의정부시
467-805,관고동사무소,031-644-2613,267-6,경기 이천시　
467-030,중리동사무소,031-644-2612,187-1,경기 이천시　
467-807,창전동사무소,031-644-2611,420-9,경기 이천시　
413-020,금촌1동사무소,031-940-8201~4,3651-5,경기 파주시　
413-800,금촌2동사무소,031-940-8221~7,75-1,경기 파주시　
450-804,비전1동사무소,031-659-5605,338-4,경기 평택시　
450-152,비전2동사무소,031-659-5606,274-2,경기 평택시　
459-812,서정동사무소,031-610-8605,376-4,경기 평택시　
450-818,세교동사무소,031-659-5607,559-4,경기 평택시　
459-110,송북동사무소,031-610-8608,1011,경기 평택시　
459-060,송탄동사무소,031-610-8606,197-7,경기 평택시　
459-822,신장1동사무소,031-610-8609,338-21,경기 평택시　
459-122,신장2동사무소,031-610-8610,275-1,경기 평택시　
450-831,신평동사무소,031-659-5602,614-4,경기 평택시　
450-040,원평동사무소,031-659-5603,172-6,경기 평택시　
459-812,중앙동사무소,031-610-8604,342,경기 평택시　
459-110,지산동사무소,031-610-8607,798-4,경기 평택시　
450-040,통북동사무소,031-659-5604,52-4,경기 평택시　
465-180,감북동사무소,031-790-6608,328,경기 하남시　
465-805,덕풍1동사무소,031-790-6604,436-12,경기 하남시　
465-807,덕풍2동사무소,031-790-6605,산33-1,경기 하남시　
465-800,덕풍3동사무소,031-790-6606,285-80,경기 하남시　
465-811,신장1동사무소,031-790-6602,441-17,경기 하남시　
465-810,신장2동사무소,031-790-6603,521-1,경기 하남시　
465-250,천현동사무소,031-790-6601,112-1,경기 하남시　
465-220,초이동사무소,031-790-6610,276-5,경기 하남시　
465-060,춘궁동사무소,031-790-6609,333-2,경기 하남시　
465-170,풍산동사무소,031-790-6607,244-11,경기 하남시　
445-310,기배동사무소,031-369-4580,457-22,경기 화성시　
445-010,남양동사무소,031-369-2741~5,1340,경기 화성시　
445-160,동탄동사무소,031-369-4660,86,경기 화성시　
445-330,반월동사무소,031-369-4560,869-4,경기 화성시　
445-360,병점1동사무소,031-369-4520,379-10,경기 화성시　
445-360,병점2동사무소,031-369-4540,834-1,경기 화성시　
445-390,진안동사무소,031-369-4500,873-12,경기 화성시　
445-380,화산동사무소,031-369-4600,19-2,경기 화성시　
656-304,고현동사무소,055-639-4022,,경남 거제시　
656-900,능포동사무소,055-639-4013,633-197,경남 거제시　
656-910,마전동사무소,055-639-4012,561-3,경남 거제시　
656-304,상문동사무소,055-639-4023,,경남 거제시　
656-306,수양동사무소,055-639-4024,,경남 거제시　
656-902,아주동사무소,055-639-4014,338,경남 거제시　
656-904,옥포1동사무소,055-639-4015,548-30,경남 거제시　
656-908,옥포2동사무소,055-639-4016,1291-1,경남 거제시　
656-910,장승포동사무소,055-639-4011,702-3,경남 거제시　
656-305,장평동사무소,055-639-4021,,경남 거제시　
621-903,내외동사무소,055-321-6303,1116-4,경남 김해시　
621-020,동상동사무소,055-324-7833,856,경남 김해시　
621-906,부원동사무소,055-332-2643,619-3,경남 김해시　
621-900,북부동사무소,055-322-0066,93-4,경남 김해시　
621-210,불암동사무소,055-332-2650,220-15,경남 김해시　
621-909,삼안동사무소,055-321-8851,178-2,경남 김해시　
621-100,칠산서부동사무소,055-323-2646,515-3,경남 김해시　
621-913,활천동사무소,055-332-2648,660-6,경남 김해시　
621-040,회현동사무소,055-321-9539,301-3,경남 김해시　
631-320,가포동사무소,055-240-2707,472-5,경남 마산시　
631-851,교방동사무소,055-240-2716,375-4,경남 마산시　
630-800,구암1동사무소,055-240-2730,8-16,경남 마산시　
630-801,구암2동사무소,055-240-2731,86-15,경남 마산시　
631-857,노산동사무소,055-240-2717,40-11,경남 마산시　
631-450,동서동사무소,055-240-2714,151-5,경남 마산시　
631-200,문화동사무소,055-240-2709,5-2,경남 마산시　
631-421,반월동사무소,055-240-2710,2,경남 마산시　
630-803,봉암동사무소,055-240-2732,472-10,경남 마산시　
631-855,산호동사무소,055-240-2720,234-8,경남 마산시　
630-805,석전1동사무소,055-240-2723,156-23,경남 마산시　
630-807,석전2동사무소,055-240-2724,255-6,경남 마산시　
631-130,성호동사무소,055-240-2715,38-14,경남 마산시　
630-809,양덕1동사무소,055-240-2726,20-7,경남 마산시　
630-811,양덕2동사무소,055-240-2727,60-11,경남 마산시　
631-860,오동동사무소,055-240-2718,113-23,경남 마산시　
631-861,완월동사무소,055-240-2712,12-23,경남 마산시　
631-871,월영동사무소,055-240-2708,14-15,경남 마산시　
631-867,자산동사무소,055-240-2713,25-13,경남 마산시　
631-162,중앙동사무소,055-240-2711,1-39,경남 마산시　
